term,int_rate,installment,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,earliest_cr_line,pub_rec,revol_bal,revol_util,total_acc,mort_acc
0,13.05,118.02,3,20000.0,2,1,1,9.42,1999,1,3230.0,25.2,15.0,0.0
0,11.67,99.18,0,44000.0,1,1,4,17.62,1991,1,3581.0,17.0,45.0,2.0
0,13.35,135.46,3,65000.0,0,1,6,18.06,2007,0,2917.0,38.9,12.0,0.0
0,15.61,305.95,0,95000.0,1,1,7,12.72,2000,0,893.0,68.7,26.0,1.0
0,12.35,300.44,3,50000.0,1,1,1,21.62,1996,1,10854.0,65.0,15.0,0.0
0,14.09,207.9,2,21400.0,2,1,2,12.9,1975,1,9321.0,48.5,13.0,1.0
0,9.75,578.7,0,45000.0,2,1,2,29.52,2002,0,23029.0,69.8,31.0,1.0
0,10.64,327.32,2,30000.0,0,1,2,14.48,1997,1,10725.0,23.0,19.0,0.0
0,23.4,175.14,2,20000.0,2,1,2,27.55,2010,0,3091.0,68.7,15.0,0.0
0,10.99,81.84,0,80000.0,1,1,4,9.71,1996,0,9676.0,64.5,21.0,1.0
0,9.91,592.94,3,62500.0,1,1,2,13.75,1979,0,20554.0,47.3,26.0,1.8139908160844136
1,10.36,224.96,3,40800.0,2,1,7,23.94,1999,0,4873.0,22.3,35.0,1.8139908160844136
0,15.31,344.7,3,80000.0,1,0,6,18.63,1993,1,2114.0,19.5,14.0,0.0
0,12.99,235.83,0,60000.0,1,0,2,16.22,2000,0,15539.0,78.5,13.0,3.0
1,22.47,836.61,0,70000.0,2,0,2,30.62,2001,0,15733.0,81.5,63.0,7.0
0,6.03,760.89,0,62000.0,1,1,1,24.14,1997,0,35104.0,56.4,32.0,2.0
0,11.89,198.99,3,66000.0,0,1,9,21.07,1996,0,18136.0,44.7,32.0,1.8139908160844136
0,18.25,156.91,0,105000.0,2,1,11,7.78,1996,0,8592.0,61.4,20.0,3.0
0,17.57,358.48,3,50000.0,1,1,2,32.86,1994,1,5671.0,74.6,26.0,3.0
0,7.26,805.9,3,75000.0,2,1,2,9.04,2004,0,12281.0,31.6,11.0,0.0
1,14.47,282.16,3,44000.0,1,1,1,21.09,1999,0,12195.0,65.2,28.0,8.0
0,10.16,905.59,0,102000.0,2,1,2,6.92,2000,0,20203.0,58.7,17.0,1.0
0,12.29,440.26,0,88000.0,0,1,2,22.09,1997,0,11621.0,61.8,26.0,2.0
0,18.99,442.57,3,27630.0,2,1,2,23.68,2000,0,2748.0,16.6,16.0,0.0
1,20.99,676.2,0,74000.0,1,1,2,13.43,2001,0,27773.0,95.8,11.0,2.0
1,18.25,361.25,0,46000.0,1,0,2,21.96,1986,0,29436.0,59.6,54.0,8.0
0,6.68,768.28,0,96500.0,1,1,2,22.92,2000,0,38510.0,30.2,34.0,7.0
0,13.99,512.6,3,55000.0,2,1,1,14.9,2011,0,12164.0,58.2,10.0,0.0
1,14.99,594.62,0,55000.0,2,1,2,21.47,2004,0,6780.0,28.1,16.0,1.0
0,7.49,155.51,2,52000.0,1,1,9,3.14,2007,0,1138.0,4.6,17.0,0.0
0,13.33,121.88,3,25000.0,2,1,2,4.56,2011,0,1288.0,15.0,10.0,0.0
1,15.61,289.34,0,45000.0,0,1,2,19.28,2003,0,12837.0,69.4,27.0,3.0
